"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","FTP Path to Experiment","Library Name","Library Strategy","Library Source","Library Selection"
"SRX389821","GSM1287190: Sf-2 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513555","","342.84","1","7531233","587436174","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389821","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389820","GSM1287189: Sf-2 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513554","","368.35","1","7939088","619248864","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389820","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389819","GSM1287188: Rsch-4 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513553","","289.43","1","6302229","491573862","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389819","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389818","GSM1287187: Rsch-4 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513552","","270.68","1","5766219","449765082","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389818","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389817","GSM1287186: Po-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513551","","466.55","1","6756108","689123016","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389817","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389816","GSM1287185: Po-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513550","","247.38","1","5539651","432092778","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389816","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389815","GSM1287184: Oy-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513549","","474.42","1","6857799","699495498","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389815","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389814","GSM1287183: Oy-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513548","","290.45","1","6724482","524509596","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389814","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389813","GSM1287182: No-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513547","","534.32","1","7748544","790351488","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389813","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389812","GSM1287181: No-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513546","","298.5","1","6840151","533531778","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389812","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389811","GSM1287180: Mt-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513545","","342.15","1","4984483","508417266","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389811","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389810","GSM1287179: Mt-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513544","","260.07","1","6011921","468929838","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389810","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389809","GSM1287178: Ler-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513543","","453.07","1","6837746","697450092","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389809","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389808","GSM1287177: Ler-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513542","","232.89","1","5156948","402241944","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389808","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389807","GSM1287176: Kn-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513541","","529.09","1","8103523","826559346","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389807","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389806","GSM1287175: Kn-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513540","","249.93","1","5567039","434229042","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389806","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389805","GSM1287174: Hi-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513539","","588.07","1","8951671","913070442","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389805","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389804","GSM1287173: Hi-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513538","","278.7","1","6304358","491739924","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389804","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389803","GSM1287172: Edi-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513537","","338.91","1","7429864","579529392","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389803","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389802","GSM1287171: Edi-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513536","","269.26","1","6015417","469202526","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389802","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389801","GSM1287170: Ct-1 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513535","","717.07","1","10834953","1105165206","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389801","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389800","GSM1287169: Ct-1 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513534","","343.51","1","5310014","541621428","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389799","GSM1287168: Col-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513533","","274.47","1","5868787","457765386","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389799","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389798","GSM1287167: Col-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513532","","467.97","1","7243569","738844038","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389798","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389797","GSM1287166: Can-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513531","","420.04","1","6205001","632910102","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389797","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389796","GSM1287165: Can-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513530","","379.06","1","5820377","593678454","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389796","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389795","GSM1287164: Bur-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513529","","345.04","1","5047884","514884168","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389795","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389794","GSM1287163: Bur-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513528","","306.64","1","4742055","483689610","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389794","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
